timestamp,ping,download,upload
1615673484362.303,39.19,24.78,9.15
1615673545406.301,40.45,23.83,8.25
1615673604532.315,45.97,22.41,8.71
1615673664542.588,47.09,25.31,8.23
1615673724271.473,44.54,25.91,8.2
1615673787532.069,32.95,24.9,6.41
1615673844686.926,44.68,24.11,8.2
1615673904205.847,33.38,24.58,8.38
1615673965553.343,36.93,16.53,4.96
1615674024734.094,29.6,23.85,8.51
1615674091303.231,40.38,20.01,8.46
1615674146236.975,38.42,22.27,8.48
1615674204277.128,37.55,25.8,8.83
1615674264204.164,37.7,19.74,7.98
1615674324308.54,38.82,18.75,8.38
1615674384770.447,37.06,19.4,8.35
1615674444253.806,40.94,26.76,8.76
1615674504216.036,37.74,22.59,8.79
1615674568660.734,42.62,19.96,8.65
1615674604160.668,0,0,0
1615674686267.537,34.51,24.55,8.89
1615674744476.568,38.85,21.11,9.0
1615674804457.633,37.06,25.04,9.18
1615674864725.411,40.83,23.73,8.75
1615674924307.964,38.24,21.92,9.14
1615674984599.912,36.41,26.51,9.08
1615675044519.112,41.57,18.6,9.04
1615675107020.592,41.56,25.19,8.8
1615675164991.586,40.98,22.26,8.85
1615675224768.62,42.81,19.52,8.44
1615675284402.723,35.33,24.92,8.99
1615675344439.035,41.66,25.1,8.62
1615675404385.255,40.62,21.32,8.76
1615675464421.943,38.2,21.43,7.4
1615675524332.302,44.97,25.38,8.96
1615675583377.325,41.64,24.16,9.13
1615675645584.894,46.34,21.65,3.05
1615675702979.013,38.32,19.93,9.38
1615675762869.843,37.43,23.19,9.32
1615675827278.252,38.47,22.4,6.1
1615675884185.887,37.6,19.09,9.12
1615675943195.557,44.55,21.22,8.57
1615676002973.389,42.97,23.9,9.07
1615676063005.873,36.64,22.76,8.95
1615676123216.961,41.95,20.45,8.81
1615676191683.596,34.88,13.75,7.52
1615676243759.96,46.01,21.29,9.02
1615676302838.005,39.69,21.6,9.15
1615676363677.143,49.94,18.17,8.79
1615676402784.31,0,0,0
1615676483438.26,34.16,20.27,8.8
1615676544399.697,48.22,15.78,7.6
1615676602938.938,38.07,22.72,8.83
1615676663126.638,38.97,22.63,9.11
1615676724088.185,42.53,15.92,8.97
1615676783399.873,37.17,18.66,8.91
1615676845442.98,47.39,18.68,8.84
1615676906276.065,36.76,8.58,9.41
1615676963285.213,40.31,23.04,9.34
1615677022988.34,39.95,20.06,8.84
1615677083155.548,45.05,21.42,8.52
1615677143146.175,39.82,19.14,9.01
1615677203497.445,39.65,18.82,8.98
1615677263005.511,38.73,33.85,9.27
1615677325028.034,42.54,27.13,9.08
1615677385882.065,41.91,36.48,8.72
